function	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd
p101_closelog	XSI	libraries/lib_diagnostics/src/posix_xsi/syslog.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_posix_xsi/src/syslog.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_syslog.h	yes	yes	yes
p101_err	common-Unix	libraries/lib_diagnostics/src/unix/err.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_unix/src/err.c	libraries/lib_unix/include/p101_unix/p101_err.h	yes	yes	yes
p101_errx	common-Unix	libraries/lib_diagnostics/src/unix/err.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_unix/src/err.c	libraries/lib_unix/include/p101_unix/p101_err.h	yes	yes	yes
p101_fmtmsg	XSI	libraries/lib_diagnostics/src/posix_xsi/fmtmsg.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_posix_xsi/src/fmtmsg.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_fmtmsg.h	yes	yes	yes
p101_openlog	XSI	libraries/lib_diagnostics/src/posix_xsi/syslog.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_posix_xsi/src/syslog.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_syslog.h	yes	yes	yes
p101_setlogmask	XSI	libraries/lib_diagnostics/src/posix_xsi/syslog.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_posix_xsi/src/syslog.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_syslog.h	yes	yes	yes
p101_verr	common-Unix	libraries/lib_diagnostics/src/unix/err.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_unix/src/err.c	libraries/lib_unix/include/p101_unix/p101_err.h	yes	yes	yes
p101_verrx	common-Unix	libraries/lib_diagnostics/src/unix/err.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_unix/src/err.c	libraries/lib_unix/include/p101_unix/p101_err.h	yes	yes	yes
p101_vwarn	common-Unix	libraries/lib_diagnostics/src/unix/err.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_unix/src/err.c	libraries/lib_unix/include/p101_unix/p101_err.h	yes	yes	yes
p101_vwarnx	common-Unix	libraries/lib_diagnostics/src/unix/err.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_unix/src/err.c	libraries/lib_unix/include/p101_unix/p101_err.h	yes	yes	yes
p101_warn	common-Unix	libraries/lib_diagnostics/src/unix/err.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_unix/src/err.c	libraries/lib_unix/include/p101_unix/p101_err.h	yes	yes	yes
p101_warnx	common-Unix	libraries/lib_diagnostics/src/unix/err.c	libraries/lib_diagnostics/include/p101_diagnostics/diagnostics.h	libraries/lib_unix/src/err.c	libraries/lib_unix/include/p101_unix/p101_err.h	yes	yes	yes
